Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Years,Price_Per_Unit_Weight,Item_MRP_Clusters
NCY18,7.285,Non Edible,0.031327839,Household,174.6054,OUT017,2007,Small,Tier 2,Supermarket Type1,2976.7918,NC,12,23.967796842827727,3rd
FDS11,7.05,Regular,0.055558509,Breads,224.7088,OUT046,1997,Small,Tier 1,Supermarket Type1,3131.9232,FD,22,31.87358865248227,4th
FDC28,12.857645184135976,Low Fat,0.07048184085069402,Frozen Foods,109.9254,OUT019,1985,Small,Tier 1,Grocery Store,108.5254,FD,34,8.549419308570451,2nd
FDR59,14.5,Regular,0.063863551,Breads,262.3594,OUT046,1997,Small,Tier 1,Supermarket Type1,4448.2098,FD,22,18.09375172413793,4th
DRE15,13.35,Low Fat,0.07048184085069402,Dairy,75.7012,OUT017,2007,Small,Tier 2,Supermarket Type1,1442.1228,DR,12,5.670501872659176,2nd
FDP19,11.5,Low Fat,0.07048184085069402,Fruits and Vegetables,128.4652,OUT049,1999,Medium,Tier 1,Supermarket Type1,2841.6344,FD,20,11.17088695652174,2nd
DRN47,12.1,Low Fat,0.016852909,Hard Drinks,180.666,OUT049,1999,Medium,Tier 1,Supermarket Type1,2876.256,DR,20,14.93107438016529,3rd
FDJ34,11.8,Regular,0.094037241,Snack Foods,124.5704,OUT018,2009,Medium,Tier 3,Supermarket Type2,1001.3632,FD,10,10.556813559322034,2nd
FDX21,7.05,Low Fat,0.085312137,Snack Foods,107.4912,OUT018,2009,Medium,Tier 3,Supermarket Type2,982.7208,FD,10,15.246978723404256,2nd
FDI57,12.857645184135976,Low Fat,0.053764023,Seafood,195.7768,OUT027,1985,Medium,Tier 3,Supermarket Type3,3547.3824,FD,34,15.226489547366995,3rd
NCI42,18.75,Non Edible,0.010365546,Household,207.0954,OUT046,1997,Small,Tier 1,Supermarket Type1,3125.931,NC,22,11.045088,4th
FDL03,19.25,Regular,0.027135522,Meat,196.311,OUT045,2002,Small,Tier 2,Supermarket Type1,3142.576,FD,17,10.197974025974027,3rd
FDX37,16.2,Low Fat,0.07048184085069402,Canned,100.57,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18,FD,32,6.208024691358024,2nd
FDW57,8.31,Regular,0.116148596,Snack Foods,176.0028,OUT018,2009,Medium,Tier 3,Supermarket Type2,4427.57,FD,10,21.179638989169675,3rd
FDX14,13.1,Low Fat,0.075363922,Dairy,73.8354,OUT017,2007,Small,Tier 2,Supermarket Type1,1956.1204,FD,12,5.636290076335879,2nd
FDD09,13.5,Low Fat,0.021496403,Fruits and Vegetables,180.5976,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,FD,22,13.3776,3rd
FDM09,11.15,Regular,0.085931544,Snack Foods,169.679,OUT046,1997,Small,Tier 1,Supermarket Type1,1018.674,FD,22,15.217847533632286,3rd
NCW54,7.5,Non Edible,0.096806008,Household,56.2588,OUT018,2009,Medium,Tier 3,Supermarket Type2,687.1056,NC,10,7.501173333333333,1st
DRL11,12.857645184135976,Low Fat,0.04778563,Hard Drinks,156.5946,OUT027,1985,Medium,Tier 3,Supermarket Type3,3787.0704,DR,34,12.179104163895394,3rd
FDJ58,15.6,Regular,0.105725004,Snack Foods,169.9764,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.4224,FD,10,10.895923076923077,3rd
FDX21,12.857645184135976,Low Fat,0.148764535,Snack Foods,111.1912,OUT019,1985,Small,Tier 1,Grocery Store,109.1912,FD,34,8.647866573359012,2nd
FDA20,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,OUT017,2007,Small,Tier 2,Supermarket Type1,2609.936,FD,12,27.510914454277284,3rd
FDL34,16.0,Low Fat,0.040938155,Snack Foods,141.1496,OUT035,2004,Small,Tier 2,Supermarket Type1,4516.7872,FD,15,8.82185,3rd
FDL38,12.857645184135976,Regular,0.014661762,Canned,89.1172,OUT027,1985,Medium,Tier 3,Supermarket Type3,2319.6472,FD,34,6.931066981841637,2nd
DRL11,10.5,Low Fat,0.048213766,Hard Drinks,159.6946,OUT018,2009,Medium,Tier 3,Supermarket Type2,3629.2758,DR,10,15.209009523809524,3rd
FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,OUT018,2009,Medium,Tier 3,Supermarket Type2,2087.9488,FD,10,8.704046783625731,3rd
DRZ24,7.535,Low Fat,0.07048184085069402,Soft Drinks,121.644,OUT045,2002,Small,Tier 2,Supermarket Type1,1557.972,DR,17,16.143861977438622,2nd
FDM52,15.1,Low Fat,0.025988508,Frozen Foods,146.6076,OUT035,2004,Small,Tier 2,Supermarket Type1,2364.9216,FD,15,9.709112582781456,3rd
FDM52,15.1,Low Fat,0.026140452,Frozen Foods,149.0076,OUT017,2007,Small,Tier 2,Supermarket Type1,4138.6128,FD,12,9.86805298013245,3rd
FDV49,10.0,Low Fat,0.025932408,Canned,264.7226,OUT018,2009,Medium,Tier 3,Supermarket Type2,3171.8712,FD,10,26.47226,4th
FDF47,20.85,Low Fat,0.098170402,Starchy Foods,224.0746,OUT017,2007,Small,Tier 2,Supermarket Type1,2243.746,FD,12,10.746983213429257,4th
FDF56,16.7,Regular,0.119439636,Fruits and Vegetables,182.1976,OUT035,2004,Small,Tier 2,Supermarket Type1,724.3904,FD,15,10.910035928143712,3rd
FDW12,8.315,Regular,0.059540542,Baking Goods,143.6444,OUT010,1998,Small,Tier 3,Grocery Store,145.1444,FD,21,17.275333734215273,3rd
FDY09,12.857645184135976,Low Fat,0.044122209,Snack Foods,173.8054,OUT019,1985,Small,Tier 1,Grocery Store,175.1054,FD,34,13.517669644084178,3rd
FDY55,16.75,Low Fat,0.081304829,Fruits and Vegetables,258.4988,OUT035,2004,Small,Tier 2,Supermarket Type1,4111.9808,FD,15,15.43276417910448,4th
FDU36,12.857645184135976,Low Fat,0.081014461,Baking Goods,98.8384,OUT019,1985,Small,Tier 1,Grocery Store,492.692,FD,34,7.68713077585535,2nd
NCR06,12.5,Non Edible,0.006775667,Household,42.9112,OUT049,1999,Medium,Tier 1,Supermarket Type1,1022.6688,NC,20,3.432896,1st
FDW24,6.8,Low Fat,0.03749705,Baking Goods,49.9034,OUT046,1997,Small,Tier 1,Supermarket Type1,194.4136,FD,22,7.338735294117647,1st
FDF16,7.3,Low Fat,0.086060695,Frozen Foods,149.8076,OUT013,1987,High,Tier 3,Supermarket Type1,2808.3444,FD,32,20.521589041095893,3rd
NCR18,15.85,Non Edible,0.020519478,Household,42.5112,OUT049,1999,Medium,Tier 1,Supermarket Type1,852.224,NC,20,2.682094637223975,1st
DRD01,12.1,Regular,0.061163967,Soft Drinks,56.5614,OUT035,2004,Small,Tier 2,Supermarket Type1,828.921,DR,15,4.674495867768595,1st
FDS15,9.195,Regular,0.07821891,Meat,107.6596,OUT045,2002,Small,Tier 2,Supermarket Type1,323.5788,FD,17,11.708493746601413,2nd
FDT19,7.59,Regular,0.14492016,Fruits and Vegetables,174.708,OUT013,1987,High,Tier 3,Supermarket Type1,2942.836,FD,32,23.01818181818182,3rd
FDE59,12.15,Low Fat,0.062235983,Starchy Foods,34.5532,OUT013,1987,High,Tier 3,Supermarket Type1,359.532,FD,32,2.843884773662551,1st
FDE04,19.75,Regular,0.030166924,Frozen Foods,179.766,OUT010,1998,Small,Tier 3,Grocery Store,719.064,FD,21,9.102075949367087,3rd
NCV17,18.85,Non Edible,0.016104504,Health and Hygiene,130.2626,OUT035,2004,Small,Tier 2,Supermarket Type1,2360.9268,NC,15,6.910482758620689,2nd
FDC17,12.15,Low Fat,0.01544786,Frozen Foods,211.2928,OUT013,1987,High,Tier 3,Supermarket Type1,2735.1064,FD,32,17.39035390946502,4th
FDI45,13.1,Low Fat,0.037574137,Fruits and Vegetables,174.2054,OUT035,2004,Small,Tier 2,Supermarket Type1,3677.2134,FD,15,13.29812213740458,3rd
FDZ33,12.857645184135976,Low Fat,0.106876976,Snack Foods,146.7076,OUT027,1985,Medium,Tier 3,Supermarket Type3,3842.9976,FD,34,11.410145318134212,3rd
FDJ56,12.857645184135976,Low Fat,0.32111501,Fruits and Vegetables,100.77,OUT019,1985,Small,Tier 1,Grocery Store,199.74,FD,34,7.837360461955512,2nd
FDN25,7.895,Regular,0.061124626,Breakfast,58.5588,OUT013,1987,High,Tier 3,Supermarket Type1,171.7764,FD,32,7.417200759974667,1st
FDC10,12.857645184135976,Regular,0.127599399,Snack Foods,118.9098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098,FD,34,9.24817867479446,2nd
FDQ22,16.75,Low Fat,0.029785889,Snack Foods,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,628.5152,FD,20,2.32729552238806,1st
NCR54,16.35,Non Edible,0.07048184085069402,Household,198.211,OUT035,2004,Small,Tier 2,Supermarket Type1,2946.165,NC,15,12.122996941896025,3rd
DRK11,8.21,Low Fat,0.010762387,Hard Drinks,149.5392,OUT035,2004,Small,Tier 2,Supermarket Type1,1789.6704,DR,15,18.21427527405603,3rd
DRI37,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,OUT017,2007,Small,Tier 2,Supermarket Type1,468.7232,DR,12,3.6839369085173503,1st
FDX37,16.2,Low Fat,0.063127333,Canned,100.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,1597.92,FD,20,6.201851851851852,2nd
FDF05,17.5,Low Fat,0.02687089,Frozen Foods,264.491,OUT046,1997,Small,Tier 1,Supermarket Type1,3681.874,FD,22,15.113771428571427,4th
FDW36,12.857645184135976,Low Fat,0.099681705,Baking Goods,107.4622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866,FD,34,8.357844571149704,2nd
FDI04,13.65,Regular,0.072898645,Frozen Foods,198.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,1977.426,FD,15,14.515941391941391,3rd
FDB04,11.35,Regular,0.063354531,Dairy,88.9856,OUT045,2002,Small,Tier 2,Supermarket Type1,1230.3984,FD,17,7.840140969162996,2nd
FDU38,10.8,Low Fat,0.082534287,Dairy,191.1504,OUT035,2004,Small,Tier 2,Supermarket Type1,4410.2592,FD,15,17.699111111111108,3rd
FDY28,7.47,Regular,0.152024355,Frozen Foods,211.8218,OUT013,1987,High,Tier 3,Supermarket Type1,1496.0526,FD,32,28.35633199464525,4th
FDP20,19.85,Low Fat,0.045669236,Fruits and Vegetables,126.402,OUT046,1997,Small,Tier 1,Supermarket Type1,1012.016,FD,22,6.3678589420654905,2nd
FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,OUT017,2007,Small,Tier 2,Supermarket Type1,2862.94,FD,12,13.54202622169249,2nd
FDR45,10.8,Low Fat,0.028988288,Snack Foods,239.2222,OUT049,1999,Medium,Tier 1,Supermarket Type1,6692.6216,FD,20,22.150203703703703,4th
NCC42,15.0,Non Edible,0.044908404,Health and Hygiene,140.2838,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.838,NC,22,9.352253333333334,3rd
NCF42,17.35,Non Edible,0.168329848,Household,176.7712,OUT017,2007,Small,Tier 2,Supermarket Type1,2812.3392,NC,12,10.188541786743514,3rd
FDZ45,14.1,Low Fat,0.111936685,Snack Foods,198.8084,OUT010,1998,Small,Tier 3,Grocery Store,992.042,FD,21,14.099886524822695,3rd
FDB23,19.2,Regular,0.005620213,Starchy Foods,226.6062,OUT017,2007,Small,Tier 2,Supermarket Type1,5191.2426,FD,12,11.80240625,4th
FDC41,15.6,Low Fat,0.117095014,Frozen Foods,78.067,OUT049,1999,Medium,Tier 1,Supermarket Type1,1148.505,FD,20,5.004294871794872,2nd
FDA10,12.857645184135976,Low Fat,0.248301532,Snack Foods,124.1072,OUT019,1985,Small,Tier 1,Grocery Store,245.0144,FD,34,9.652405103939717,2nd
NCM26,20.5,Non Edible,0.023274107,Others,154.134,OUT017,2007,Small,Tier 2,Supermarket Type1,2909.546,NC,12,7.518731707317072,3rd
FDZ58,12.857645184135976,Low Fat,0.091354948,Snack Foods,122.3072,OUT019,1985,Small,Tier 1,Grocery Store,122.5072,FD,34,9.512410573508834,2nd
FDW35,10.6,Low Fat,0.011087128,Breads,41.4454,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089,FD,15,3.909943396226415,1st
FDX32,15.1,Regular,0.099839365,Fruits and Vegetables,143.3786,OUT035,2004,Small,Tier 2,Supermarket Type1,1733.7432,FD,15,9.49527152317881,3rd
FDK40,7.035,Low Fat,0.021938404,Frozen Foods,264.691,OUT018,2009,Medium,Tier 3,Supermarket Type2,5785.802,FD,10,37.624875621890546,4th
FDD04,16.0,Low Fat,0.090480206,Dairy,142.4154,OUT017,2007,Small,Tier 2,Supermarket Type1,1985.4156,FD,12,8.9009625,3rd
FDP28,13.65,Regular,0.080640478,Frozen Foods,262.6936,OUT046,1997,Small,Tier 1,Supermarket Type1,4175.8976,FD,22,19.24495238095238,4th
NCL42,18.85,Non Edible,0.040338009,Household,246.7144,OUT013,1987,High,Tier 3,Supermarket Type1,6615.3888,NC,32,13.088297082228117,4th
DRB13,6.115,Regular,0.007043008,Soft Drinks,190.353,OUT035,2004,Small,Tier 2,Supermarket Type1,569.259,DR,15,31.12886345053148,3rd
FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2759.0752,FD,10,21.939375,3rd
FDO58,19.6,Low Fat,0.039569689,Snack Foods,165.9526,OUT035,2004,Small,Tier 2,Supermarket Type1,2631.2416,FD,15,8.466969387755102,3rd
FDE34,9.195,Low Fat,0.180588082,Snack Foods,182.2634,OUT010,1998,Small,Tier 3,Grocery Store,363.5268,FD,21,19.82201196302338,3rd
NCE19,8.97,Non Edible,0.09301462,Household,52.7956,OUT046,1997,Small,Tier 1,Supermarket Type1,1037.3164,NC,22,5.885797101449275,1st
NCJ18,12.35,Non Edible,0.274405193,Household,117.1124,OUT010,1998,Small,Tier 3,Grocery Store,355.5372,NC,21,9.482785425101214,2nd
FDF52,9.3,Low Fat,0.066887123,Frozen Foods,183.9292,OUT049,1999,Medium,Tier 1,Supermarket Type1,3283.7256,FD,20,19.77733333333333,3rd
FDY04,17.7,Regular,0.042468413,Frozen Foods,162.421,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089,FD,15,9.176327683615819,3rd
DRF49,7.27,Low Fat,0.071188446,Soft Drinks,111.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.518,DR,20,15.399147180192575,2nd
FDX27,20.7,Regular,0.191008614,Dairy,92.8436,OUT010,1998,Small,Tier 3,Grocery Store,189.0872,FD,21,4.48519806763285,2nd
FDV28,16.1,Regular,0.159595473,Frozen Foods,32.8558,OUT013,1987,High,Tier 3,Supermarket Type1,339.558,FD,32,2.0407329192546584,1st
FDE33,12.857645184135976,Regular,0.086905536,Fruits and Vegetables,78.8644,OUT019,1985,Small,Tier 1,Grocery Store,314.2576,FD,34,6.133658136507337,2nd
FDQ37,20.75,Low Fat,0.089186387,Breakfast,193.3478,OUT013,1987,High,Tier 3,Supermarket Type1,6006.1818,FD,32,9.31796626506024,3rd
NCG30,20.2,Non Edible,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.1104,NC,22,6.119039603960396,2nd
NCH29,5.51,Non Edible,0.034668802,Health and Hygiene,98.5726,OUT017,2007,Small,Tier 2,Supermarket Type1,1761.7068,NC,12,17.889764065335754,2nd
FDV20,20.2,Regular,0.07048184085069402,Fruits and Vegetables,129.0678,OUT017,2007,Small,Tier 2,Supermarket Type1,3560.6984,FD,12,6.389495049504951,2nd
FDG57,14.7,Low Fat,0.072592873,Fruits and Vegetables,48.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.8612,FD,10,3.2995510204081633,1st
FDU60,20.0,Regular,0.059889718,Baking Goods,168.5132,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.9244,FD,15,8.42566,3rd
NCH30,17.1,Non Edible,0.112402118,Household,112.986,OUT010,1998,Small,Tier 3,Grocery Store,113.186,NC,21,6.607368421052631,2nd
NCM29,11.5,Non Edible,0.029529474,Health and Hygiene,132.6626,OUT010,1998,Small,Tier 3,Grocery Store,262.3252,NC,21,11.535878260869564,2nd
FDB12,11.15,Regular,0.105736638,Baking Goods,104.4648,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,FD,10,9.369040358744394,2nd
FDD53,16.2,Low Fat,0.044291251,Frozen Foods,43.3454,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.3448,FD,20,2.675641975308642,1st
FDI44,16.1,Low Fat,0.100388706,Fruits and Vegetables,76.0328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.5872,FD,20,4.722534161490683,2nd
FDW56,12.857645184135976,Low Fat,0.070556945,Fruits and Vegetables,191.2162,OUT027,1985,Medium,Tier 3,Supermarket Type3,7504.2318,FD,34,14.871790072098616,3rd
FDA01,15.0,Regular,0.054599767,Canned,59.4904,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,FD,10,3.9660266666666666,1st
FDG47,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,OUT013,1987,High,Tier 3,Supermarket Type1,2885.5772,FD,32,20.548843749999996,4th
FDT40,5.985,Low Fat,0.07048184085069402,Frozen Foods,125.2678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424,FD,15,20.930292397660818,2nd
FDU20,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.7058,FD,15,6.217560723514211,2nd
NCP41,16.6,Non Edible,0.016276741,Health and Hygiene,109.8596,OUT018,2009,Medium,Tier 3,Supermarket Type2,1617.894,NC,10,6.6180481927710835,2nd
FDW36,12.857645184135976,Low Fat,0.056656942,Baking Goods,106.2622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2328.9684,FD,34,8.264514884195783,2nd
FDN31,11.5,Low Fat,0.072994847,Fruits and Vegetables,189.253,OUT049,1999,Medium,Tier 1,Supermarket Type1,1328.271,FD,20,16.45678260869565,3rd
NCU54,8.88,Non Edible,0.165073642,Household,207.727,OUT010,1998,Small,Tier 3,Grocery Store,209.727,NC,21,23.39268018018018,4th
FDS01,11.6,Low Fat,0.017744999,Canned,177.9686,OUT046,1997,Small,Tier 1,Supermarket Type1,1244.3802,FD,22,15.342120689655173,3rd
FDA23,9.8,Low Fat,0.047453947,Baking Goods,101.7016,OUT017,2007,Small,Tier 2,Supermarket Type1,1518.024,FD,12,10.377714285714285,2nd
FDY08,9.395,Regular,0.171422166,Fruits and Vegetables,139.1838,OUT045,2002,Small,Tier 2,Supermarket Type1,1685.8056,FD,17,14.81466737626397,3rd
FDJ28,12.3,Low Fat,0.021860985,Frozen Foods,193.3162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,FD,22,15.716764227642276,3rd
DRF36,16.1,Low Fat,0.023577298,Soft Drinks,192.6846,OUT046,1997,Small,Tier 1,Supermarket Type1,2866.269,DR,22,11.96798757763975,3rd
FDH44,19.1,Regular,0.043304681,Fruits and Vegetables,147.5418,OUT010,1998,Small,Tier 3,Grocery Store,294.2836,FD,21,7.724701570680628,3rd
NCY54,8.43,Non Edible,0.177971115,Household,174.0422,OUT049,1999,Medium,Tier 1,Supermarket Type1,2069.3064,NC,20,20.645575326215898,3rd
FDR59,14.5,Regular,0.106894492,Breads,260.4594,OUT010,1998,Small,Tier 3,Grocery Store,1046.6376,FD,21,17.962717241379313,4th
DRA59,8.27,Regular,0.127927931,Soft Drinks,184.8924,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.2176,DR,22,22.357001209189846,3rd
FDS55,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.0734,OUT017,2007,Small,Tier 2,Supermarket Type1,1930.1542,FD,12,21.09307692307692,3rd
FDZ28,20.0,Regular,0.051596927,Frozen Foods,128.0678,OUT045,2002,Small,Tier 2,Supermarket Type1,1780.3492,FD,17,6.40339,2nd
DRG49,7.81,Low Fat,0.067592098,Soft Drinks,246.0486,OUT045,2002,Small,Tier 2,Supermarket Type1,7086.1094,DR,17,31.504302176696545,4th
FDH21,12.857645184135976,Low Fat,0.054670967,Seafood,158.6604,OUT019,1985,Small,Tier 1,Grocery Store,316.9208,FD,34,12.339771219986568,3rd
NCN19,13.1,Non Edible,0.012089479,Others,189.853,OUT013,1987,High,Tier 3,Supermarket Type1,3415.554,NC,32,14.49259541984733,3rd
FDP25,15.2,Low Fat,0.021250528,Canned,216.5824,OUT045,2002,Small,Tier 2,Supermarket Type1,5241.1776,FD,17,14.24884210526316,4th
DRH59,10.8,Low Fat,0.05843345,Hard Drinks,74.738,OUT046,1997,Small,Tier 1,Supermarket Type1,1025.332,DR,22,6.9201851851851846,2nd
FDH09,12.6,Low Fat,0.05606697,Seafood,50.7982,OUT035,2004,Small,Tier 2,Supermarket Type1,473.3838,FD,15,4.031603174603175,1st
NCK54,12.15,Non Edible,0.029569276,Household,115.015,OUT049,1999,Medium,Tier 1,Supermarket Type1,2912.875,NC,20,9.466255144032921,2nd
FDT21,7.42,Low Fat,0.0204332,Snack Foods,248.9092,OUT045,2002,Small,Tier 2,Supermarket Type1,5976.2208,FD,17,33.54571428571428,4th
FDR12,12.857645184135976,Regular,0.055213281,Baking Goods,172.4764,OUT019,1985,Small,Tier 1,Grocery Store,687.1056,FD,34,13.414307015782711,3rd
FDS25,6.885,Regular,0.1408005,Canned,111.4228,OUT017,2007,Small,Tier 2,Supermarket Type1,2984.1156,FD,12,16.183413217138707,2nd
NCL05,12.857645184135976,Non Edible,0.047665717,Health and Hygiene,42.177,OUT027,1985,Medium,Tier 3,Supermarket Type3,1255.033,NC,34,3.280305172212937,1st
NCI30,20.25,Non Edible,0.059268885,Household,246.446,OUT017,2007,Small,Tier 2,Supermarket Type1,3695.19,NC,12,12.170172839506172,4th
FDJ26,15.3,Regular,0.084937098,Canned,214.0218,OUT045,2002,Small,Tier 2,Supermarket Type1,1068.609,FD,17,13.98835294117647,4th
FDA56,9.21,Low Fat,0.008778413,Fruits and Vegetables,122.4414,OUT049,1999,Medium,Tier 1,Supermarket Type1,1583.9382,FD,20,13.294397394136807,2nd
FDM33,15.6,Low Fat,0.07048184085069402,Snack Foods,220.4798,OUT018,2009,Medium,Tier 3,Supermarket Type2,661.1394,FD,10,14.133320512820514,4th
FDP04,15.35,Low Fat,0.013834247,Frozen Foods,62.7168,OUT049,1999,Medium,Tier 1,Supermarket Type1,958.752,FD,20,4.085785016286645,1st
FDR55,12.15,Regular,0.132351411,Fruits and Vegetables,190.3872,OUT045,2002,Small,Tier 2,Supermarket Type1,2836.308,FD,17,15.669728395061728,3rd
NCZ54,12.857645184135976,Non Edible,0.082955719,Household,164.0552,OUT027,1985,Medium,Tier 3,Supermarket Type3,5523.4768,NC,34,12.759350382635747,3rd
NCA53,11.395,Non Edible,0.009893817,Health and Hygiene,50.3034,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068,NC,20,4.414515138218517,1st
FDL20,17.1,Low Fat,0.07048184085069402,Fruits and Vegetables,111.9886,OUT046,1997,Small,Tier 1,Supermarket Type1,3002.0922,FD,22,6.549040935672514,2nd
FDT26,18.85,Regular,0.067940657,Dairy,119.044,OUT035,2004,Small,Tier 2,Supermarket Type1,1198.44,FD,15,6.315331564986737,2nd
NCZ06,19.6,Non Edible,0.094161662,Household,251.9698,OUT046,1997,Small,Tier 1,Supermarket Type1,4566.0564,NC,22,12.855602040816326,4th
FDA04,11.3,Regular,0.067107448,Frozen Foods,258.1962,OUT017,2007,Small,Tier 2,Supermarket Type1,4402.9354,FD,12,22.84922123893805,4th
FDD29,12.857645184135976,Low Fat,0.018321361,Frozen Foods,255.3698,OUT027,1985,Medium,Tier 3,Supermarket Type3,4819.7262,FD,34,19.861319576237836,4th
FDS56,5.785,Regular,0.038756864,Fruits and Vegetables,260.7252,OUT046,1997,Small,Tier 1,Supermarket Type1,6033.4796,FD,22,45.06917891097666,4th
FDT07,5.82,Regular,0.077254736,Fruits and Vegetables,257.633,OUT013,1987,High,Tier 3,Supermarket Type1,1537.998,FD,32,44.26683848797251,4th
FDT58,9.0,Low Fat,0.08630486,Snack Foods,168.0816,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,FD,10,18.675733333333334,3rd
FDJ10,12.857645184135976,Regular,0.128876537,Snack Foods,139.1838,OUT027,1985,Medium,Tier 3,Supermarket Type3,4916.933,FD,34,10.824983735880952,3rd
FDN25,7.895,Regular,0.061163967,Breakfast,59.2588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232,FD,15,7.505864471184294,1st
DRC27,13.8,Low Fat,0.058220302,Dairy,247.4802,OUT045,2002,Small,Tier 2,Supermarket Type1,1474.0812,DR,17,17.933347826086955,4th
FDA38,5.44,Low Fat,0.025519534,Dairy,238.7538,OUT049,1999,Medium,Tier 1,Supermarket Type1,3605.307,FD,20,43.88856617647059,4th
FDM56,16.7,Low Fat,0.070133177,Fruits and Vegetables,109.8912,OUT013,1987,High,Tier 3,Supermarket Type1,873.5296,FD,32,6.5803113772455095,2nd
NCI43,19.85,Non Edible,0.025947095,Household,46.9376,OUT013,1987,High,Tier 3,Supermarket Type1,575.2512,NC,32,2.3646146095717886,1st
FDP36,10.395,Regular,0.091688111,Baking Goods,49.0008,OUT017,2007,Small,Tier 2,Supermarket Type1,860.2136,FD,12,4.713881673881674,1st
DRK49,12.857645184135976,Low Fat,0.07048184085069402,Soft Drinks,40.5138,OUT019,1985,Small,Tier 1,Grocery Store,40.6138,DR,34,3.150950226094803,1st
FDW32,12.857645184135976,Regular,0.165101585,Fruits and Vegetables,87.7882,OUT019,1985,Small,Tier 1,Grocery Store,515.3292,FD,34,6.82770435354017,2nd
NCW18,15.1,Non Edible,0.059417055,Household,237.9248,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.2232,NC,20,15.75660927152318,4th
FDQ44,20.5,Low Fat,0.036287517,Fruits and Vegetables,121.2756,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,FD,10,5.915882926829268,2nd
FDL45,15.6,Low Fat,0.037764269,Snack Foods,124.9704,OUT045,2002,Small,Tier 2,Supermarket Type1,2253.0672,FD,17,8.010923076923078,2nd
DRB48,16.75,Regular,0.024848788,Soft Drinks,39.9822,OUT035,2004,Small,Tier 2,Supermarket Type1,746.3618,DR,15,2.386997014925373,1st
FDQ34,10.85,Low Fat,0.162903525,Snack Foods,104.9622,OUT018,2009,Medium,Tier 3,Supermarket Type2,1482.0708,FD,10,9.673935483870968,2nd
FDH17,16.2,Regular,0.016747538,Frozen Foods,98.6726,OUT017,2007,Small,Tier 2,Supermarket Type1,1272.3438,FD,12,6.090901234567902,2nd
FDN08,7.72,Regular,0.147904328,Fruits and Vegetables,116.6466,OUT010,1998,Small,Tier 3,Grocery Store,117.8466,FD,21,15.109663212435235,2nd
FDK57,12.857645184135976,Low Fat,0.079904068,Snack Foods,120.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,4434.228,FD,34,9.336390783913739,2nd
FDK10,5.785,Regular,0.040325274,Snack Foods,180.466,OUT013,1987,High,Tier 3,Supermarket Type1,719.064,FD,32,31.195505617977528,3rd
FDL39,12.857645184135976,Regular,0.06302467,Dairy,181.6318,OUT027,1985,Medium,Tier 3,Supermarket Type3,1263.0226,FD,34,14.12636586239765,3rd
FDP25,15.2,Low Fat,0.021203509,Canned,216.3824,OUT035,2004,Small,Tier 2,Supermarket Type1,6114.7072,FD,15,14.235684210526315,4th
FDC05,13.1,Regular,0.098765906,Frozen Foods,196.3768,OUT035,2004,Small,Tier 2,Supermarket Type1,2167.8448,FD,15,14.99059541984733,3rd
